Year,Player Name,Position,Team,College / Origin,Year Drafted,Draft Pick,Height,Weight,Minutes Per Game,Points Per Game,Rebounds Per Game,Assists Per Game,Blocks Per Game,Steals Per Game,Turnovers Per Game,FG%,3P%,FT%,Win Shares
1998,Brandy Reed,F,PHO,Southern Miss,1998,28,6-1,168lb,10.6,5.2,3.3,0.8,0.3,0.8,1.4,0.526,0.25,0.71,1.4
1998,Bridget Pettis,G,PHO,Florida,1997,7,5-9,,28.3,11.3,3.4,2.1,0.3,1.0,2.1,0.377,0.285,0.865,2.9
1998,Bridgette Gordon,F,SAC,Tennessee,1997,,6-0,172lb,11.5,2.7,1.4,0.4,0.0,0.4,1.4,0.391,0.0,0.563,-0.7
1998,Carla Boyd,F,DET,Australia,,Undrafted,6-1,172lb,27.2,8.2,3.9,2.3,0.3,0.9,1.7,0.342,0.302,0.632,1.4
1998,Chantel Tremitiere,G,UTA,Auburn,1997,18,5-6,142lb,25.3,5.5,2.2,3.6,0.1,0.8,1.5,0.364,0.367,0.759,0.8
1998,Christy Smith,G,CHA,Arkansas,1998,17,5-7,141lb,18.7,3.7,1.4,3.0,0.0,0.4,2.0,0.36,0.316,0.85,0.3
1998,Cindy Blodgett,G,CLE,University of Maine,1998,6,5-9,130lb,8.4,2.9,0.6,0.8,0.0,0.4,0.5,0.288,0.27,0.625,0.1
1998,Cindy Brown,F,DET,Cal State Long Beach,1998,,6-2,183lb,32.2,11.8,10.0,1.8,0.7,1.7,2.2,0.47,0.328,0.707,5.2
1998,Coquese Washington,G,NYL,,,13,5-6,138lb,8.1,1.9,0.9,1.6,0.0,0.6,1.3,0.294,0.238,0.692,-0.1
1998,Cynthia Cooper,G,HOU,USC,1997,,5-10,150lb,35.0,22.7,3.7,4.4,0.4,1.6,3.2,0.446,0.4,0.854,10.0
1998,Deborah Carter,G-F,WAS,Georgia,1998,6,6-1,185lb,15.0,3.8,2.2,0.8,0.1,0.6,1.4,0.271,0.245,0.808,-1.3
1998,Dena Head,G,UTA,Tennessee,1997,1,5-10,175lb,15.6,3.6,1.7,1.2,0.0,1.0,1.5,0.424,0.481,0.697,0.1
1998,Elena Baranova,F,UTA,Kyrgyzstan,1997,11,6-5,182lb,33.6,12.9,9.3,3.5,1.5,1.1,2.8,0.42,0.313,0.831,2.3
1998,Elisabeth Cebrian,C,NYL,Spain,,Undrafted,6-5,190lb,8.5,1.7,1.2,0.4,0.3,0.0,0.9,0.429,,0.571,-0.1
1998,Erin Alexander,G,TOT,UC Santa Barbara,,Undrafted,5-7,140lb,7.1,2.0,0.9,0.5,0.0,0.2,0.6,0.273,0.314,1.0,-0.1
1998,Erin Alexander,G,TOT,UC Santa Barbara,,Undrafted,5-7,140lb,7.1,2.0,0.9,0.5,0.0,0.2,0.6,0.273,0.314,1.0,0.1
1998,Erin Alexander,G,TOT,UC Santa Barbara,,Undrafted,5-7,140lb,7.1,2.0,0.9,0.5,0.0,0.2,0.6,0.273,0.314,1.0,-0.2
1998,Eugenia Rycraw,C,LAS,Cal State Fullerton,,Undrafted,6-3,175lb,11.3,2.3,2.5,0.2,0.9,0.4,0.7,0.469,,0.727,0.6
1998,Eva Nemcova,F,CLE,Czech Republic,1997,4,6-3,,32.4,11.9,3.7,2.2,0.7,1.1,2.1,0.466,0.452,0.893,3.3
1998,Fran Harris,G-F,UTA,Texas,,Undrafted,6-0,153lb,19.6,3.9,2.2,1.7,0.1,0.7,0.9,0.354,0.313,0.833,0.0
1998,Franthea Price,G,SAC,Iowa,,Undrafted,5-9,178lb,14.6,4.9,1.7,1.3,0.1,0.8,1.2,0.374,0.359,0.722,0.8
1998,Gergana Branzova,F,DET,Florida International University,1998,24,6-4,178lb,7.8,2.7,1.6,0.3,0.2,0.1,0.8,0.446,0.0,0.55,0.1
1998,Haixia Zheng,C,LAS,China,1997,16,6-8,254lb,16.3,7.5,4.3,0.5,0.2,0.0,1.0,0.625,,0.714,0.5
1998,Heidi Burge,F-C,WAS,Virginia,1998,2,6-5,185lb,16.7,6.7,3.3,0.9,0.5,0.5,2.4,0.509,0.286,0.597,-0.4
1998,Isabelle Fijalkowski,F-C,CLE,Colorado,1997,2,6-5,200lb,28.8,13.7,6.9,2.1,1.0,0.6,2.9,0.547,0.4,0.821,4.0
1998,Jamila Wideman,G,LAS,Stanford,1997,3,5-6,135lb,13.2,1.9,0.9,2.3,0.0,0.4,1.4,0.279,0.25,0.724,-0.2
1998,Janeth Arcain,G,HOU,Brazil,1997,13,5-11,147lb,21.9,6.8,3.6,0.9,0.1,0.8,1.3,0.426,0.152,0.756,2.2
1998,Janice Braxton,F,CLE,Louisiana Tech,1997,,6-3,178lb,28.0,9.8,5.6,2.5,0.5,1.7,2.2,0.495,0.333,0.755,3.6
1998,Jennifer Gillom,F-C,PHO,Ole Miss,1997,,6-3,180lb,32.1,20.9,7.3,1.4,0.3,1.7,3.0,0.465,0.378,0.703,6.0
1998,Karen Booker,C,HOU,Vanderbilt,,Undrafted,6-1,170lb,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
1998,Katrina Colleton,F,LAS,Maryland,1997,19,5-10,145lb,19.2,2.7,1.7,1.6,0.4,0.6,1.0,0.303,0.263,0.833,0.0
1998,Kelly Boucher,F,CHA,Canada,,Undrafted,6-2,,5.8,1.1,1.4,0.2,0.0,0.1,0.3,0.2,0.167,0.75,-0.1
1998,Keri Chaconas,G,WAS,George Mason,,Undrafted,5-9,151lb,13.2,4.8,0.8,1.3,0.0,0.4,1.6,0.297,0.286,0.788,-0.9
1998,Kim Perrot,G,HOU,Louisiana,,Undrafted,5-5,,32.9,8.5,3.1,4.7,0.0,2.8,2.7,0.404,0.269,0.7,4.0
1998,Kim Williams,G,UTA,DePaul,1997,28,5-6,136lb,18.1,7.6,1.9,1.5,0.2,1.4,2.2,0.408,0.321,0.735,-0.1
1998,Kisha Ford,G-F,NYL,Georgia Tech,1997,27,5-10,153lb,15.7,4.9,1.2,0.8,0.1,1.1,0.5,0.435,0.182,0.625,1.6
1998,Korie Hlede,G,DET,Duquesne,1998,4,5-9,155lb,33.8,14.1,5.2,2.7,0.0,0.8,3.3,0.391,0.392,0.806,2.2
1998,Kristi Harrower,G,PHO,Australia,,Undrafted,5-4,139lb,11.8,2.3,0.7,1.7,0.1,0.5,1.0,0.365,0.344,0.75,0.7
1998,Kym Hampton,C,NYL,Arizona State,1997,4,6-2,210lb,24.8,9.1,6.0,0.9,0.5,1.1,2.1,0.452,0.0,0.716,2.8
1998,La'Shawn Brown,C,WAS,Louisiana Tech,,Undrafted,6-3,180lb,12.4,2.0,2.4,0.4,0.9,0.5,1.1,0.351,,0.515,-0.4
